NZ_CP009914.1.cluster010	b'1273687\n'
NZ_CP027169.1.cluster007	b'287\n'
NC_016114.1.cluster014	b'591167\n'
NZ_CP008841.1.cluster004	b'1134687\n'
NZ_CP021775.1.cluster002	b'287\n'
NZ_CP014951.1.cluster016	b'36809\n'
NZ_CM001489.1.cluster016	b'710111\n'
NZ_CP018151.1.cluster002	b'1916917\n'
NZ_CP010536.1.cluster005	b'68895\n'
NZ_CP011132.1.cluster001	b'1261127\n'
NZ_CP004001.1.cluster020	b'1249468\n'
NZ_CP027238.1.cluster005	b'712270\n'
NZ_CP011503.1.cluster005	b'60550\n'
NC_015635.1.cluster001	b'1032480\n'
NC_003155.5.cluster024	b'227882\n'
NZ_CP026881.1.cluster006	b'2083054\n'
NZ_CP009605.1.cluster007	b'1396\n'
NZ_CP018923.1.cluster008	b'615\n'
NC_017633.1.cluster003	b'316401\n'
NC_014752.1.cluster001	b'489653\n'
NC_021985.1.cluster018	b'1214242\n'
NZ_CP011509.1.cluster035	b'48\n'
NC_022239.1.cluster003	b'862971\n'
NZ_CP014134.1.cluster002	b'50719\n'
NZ_CP014999.1.cluster006	b'287\n'
NZ_CP022445.1.cluster003	b'1003239\n'
NZ_CP012201.1.cluster005	b'1678028\n'
NZ_CP017780.1.cluster024	b'1911175\n'
NZ_CM001024.1.cluster001	b'585531\n'
NZ_CM001763.1.cluster009	b'1260626\n'
NZ_CP015731.1.cluster002	b'1849031\n'
NZ_CP010313.1.cluster007	b'375\n'
NZ_CP007530.1.cluster001	b'859199\n'
NC_013656.1.cluster001_1	b'684738\n'
NZ_CP013290.1.cluster002	b'857417\n'
NZ_CP009914.1.cluster016	b'1273687\n'
NZ_CP021696.1.cluster003	b'573\n'
NZ_CP025990.1.cluster022	b'2072503\n'
NZ_CP022000.1.cluster007	b'287\n'
NZ_LT629738.1.cluster005	b'587753\n'
NZ_CP025264.1.cluster010	b'28450\n'
NZ_CP007641.1.cluster008	b'1432049\n'
NC_009792.1.cluster005	b'290338\n'
NZ_LT629701.1.cluster022	b'211114\n'
NZ_CP024897.1.cluster007	b'492670\n'
NZ_CP014280.1.cluster004	b'550\n'
NZ_CP016638.1.cluster017	b'28450\n'
NC_009512.1.cluster003	b'351746\n'
NZ_CP021011.1.cluster004	b'492670\n'
NZ_CP019883.1.cluster001	b'1768\n'
NZ_CP006960.1.cluster001	b'1434324\n'
NZ_CP016795.1.cluster033	b'47716\n'
NZ_CP018362.1.cluster003	b'571\n'
NZ_CP021448.1.cluster004	b'305\n'
NZ_CP027250.1.cluster005	b'48296\n'
NZ_CP014671.1.cluster002	b'1810504\n'
NZ_CP014960.1.cluster012	b'36809\n'
NZ_CP013336.1.cluster002	b'1307443\n'
NZ_CM003768.1.cluster015	b'179879\n'
NZ_CP016819.1.cluster002_1	b'935199\n'
NZ_CP024894.1.cluster022	b'1896961\n'
NC_023150.1.cluster005	b'1435356\n'
NZ_CP019779.1.cluster005	b'1961713\n'
NZ_AP014696.1.cluster002	b'1491\n'
NZ_CP016638.1.cluster009	b'28450\n'
NZ_CP009495.1.cluster010	b'1772\n'
NZ_CP009162.1.cluster021	b'1439852\n'
NC_018142.1.cluster004	b'767029\n'
NZ_CP011032.1.cluster003	b'314281\n'
NZ_CP023888.1.cluster002	b'54291\n'
NZ_CP006960.1.cluster012	b'1434324\n'
NC_014145.1.cluster003	b'426114\n'
NC_016801.1.cluster004	b'698963\n'
NZ_LT670849.1.cluster004	b'1437360\n'
NZ_CP015732.1.cluster002	b'1849032\n'
NZ_CP016396.1.cluster015	b'1764\n'
NZ_CP014859.1.cluster013	b'340345\n'
NZ_CP014960.1.cluster007	b'36809\n'
NC_021659.1.cluster012	b'1348660\n'
NZ_CP013380.1.cluster014	b'1740162\n'
NZ_CP015964.1.cluster008	b'1203599\n'
NZ_CP021124.1.cluster002	b'2020311\n'
NC_015848.1.cluster011	b'1048245\n'
NZ_CP016089.1.cluster003	b'169679\n'
NZ_CP020805.1.cluster008	b'492670\n'
NZ_CP009161.1.cluster016	b'1435365\n'
NZ_CP022163.1.cluster031_0	b'1294270\n'
NZ_CP012836.1.cluster001	b'1727163\n'
NZ_CP011257.1.cluster006_0	b'105219\n'
NZ_CM000740.1.cluster003	b'526993\n'
NC_014965.1.cluster001	b'914127\n'
NZ_CP023146.1.cluster008	b'1767\n'
NZ_CP023474.1.cluster005	b'1200792\n'
NZ_CP016192.1.cluster006	b'36809\n'
NZ_CP016347.1.cluster001	b'691\n'
NZ_CP021175.1.cluster002	b'562\n'
NZ_CM001489.1.cluster018	b'710111\n'
NZ_CP023147.1.cluster013	b'701042\n'
NZ_CP016279.1.cluster021	b'68214\n'
NZ_CP025394.1.cluster009	b'2018025\n'
NZ_CM001633.1.cluster001	b'864702\n'
NZ_CP023146.1.cluster017	b'1767\n'
NZ_CP024477.1.cluster012	b'287\n'
NC_011726.1.cluster003	b'41431\n'
NZ_HG917972.2.cluster014	b'1131442\n'
NZ_CP016559.1.cluster007	b'1901\n'
NC_014150.1.cluster001_0	b'526224\n'
NZ_CP017248.1.cluster021	b'1904616\n'
NZ_LT629777.1.cluster006	b'53407\n'
NZ_CP017705.1.cluster001	b'1121121\n'
NZ_CP021169.1.cluster001	b'1423\n'
NZ_CP014474.1.cluster001	b'61652\n'
NZ_CP014957.1.cluster003	b'36809\n'
NZ_CP009746.1.cluster005	b'1405\n'
NC_015726.1.cluster001	b'1042878\n'
NZ_CM001149.1.cluster013	b'525370\n'
NZ_CP024890.1.cluster001	b'1830\n'
NZ_CP012109.1.cluster015	b'1297742\n'
NZ_CP012517.1.cluster016	b'28450\n'
